티커,종목명,시장,시가총액,상장주식수,종가,거래량
115500,케이씨에스,KOSDAQ,198240000000,12000000,16520,1563262
002230,피에스텍,KOSDAQ,197902285600,18705320,10580,412290
220260,켐트로스,KOSDAQ,197884579350,32072055,6170,616629
037350,성도이엔지,KOSDAQ,197577900000,15210000,12990,345881
282720,금양그린파워,KOSDAQ,196578290000,12119500,16220,277450
297890,HB솔루션,KOSDAQ,196383354090,73140914,2685,13489171
100250,진양홀딩스,KOSPI,196173000000,63900000,3070,157316
047770,코데즈컴바인,KOSDAQ,194889400300,37842602,5150,1485667
122990,와이솔,KOSDAQ,193932509680,26639081,7280,118546
460850,동국씨엠,KOSPI,193743290880,29898656,6480,325454
046440,KG파이낸셜,KOSDAQ,193474982180,38010802,5090,182803
017550,수산세보틱스,KOSPI,193437303000,62399130,3100,1842776
015230,대창단조,KOSPI,193262574400,27143620,7120,157126
338220,뷰노,KOSDAQ,193225157400,14001823,13800,593232
008970,KBI동양철관,KOSPI,193110213927,103766907,1861,2305979
002780,진흥기업,KOSPI,193041005615,145471745,1327,7712293
071200,인피니트헬스케어,KOSDAQ,192732018200,24396458,7900,288833
004090,한국석유,KOSPI,192696741600,12694120,15180,330395
047310,파워로직스,KOSDAQ,192572571300,36610755,5260,282324
006060,화승인더,KOSPI,191960400000,55320000,3470,194809
123410,코리아에프티,KOSDAQ,191546520320,27841064,6880,236444
217820,원익피앤이,KOSDAQ,191241872770,47454559,4030,704061
003480,한진중공업홀딩스,KOSPI,190467287400,29529812,6450,153739
088130,동아엘텍,KOSDAQ,189715656900,17485314,10850,774596
213500,한솔제지,KOSPI,189690590720,23800576,7970,247958
102460,이연제약,KOSPI,189585472200,18586811,10200,47252
333430,일승,KOSDAQ,189584028990,30726747,6170,352227
264850,이랜시스,KOSDAQ,189341325000,30294612,6250,365716
101170,우림피티에스,KOSDAQ,189270000000,13500000,14020,195826
003100,선광,KOSDAQ,188760000000,6600000,28600,201237
473980,노머스,KOSDAQ,188748486540,11057322,17070,61241
163730,핑거,KOSDAQ,188601688400,9406568,20050,213002
004960,한신공영,KOSPI,188486735580,11570702,16290,442226
082800,비보존 제약,KOSDAQ,188230964600,60719666,3100,508559
101530,해태제과식품,KOSPI,188094670120,29116822,6460,59097
119830,아이텍,KOSDAQ,187605043760,26349023,7120,676436
016790,현대사료,KOSDAQ,187340898626,188471729,994,0
086980,쇼박스,KOSDAQ,186348050000,62638000,2975,639539
056090,시지메드텍,KOSDAQ,186279300944,103259036,1804,1958366
068790,DMS,KOSDAQ,186204348000,22570224,8250,151985
083500,에프엔에스테크,KOSDAQ,185664381300,8575722,21650,856835
149950,아바텍,KOSDAQ,185607406740,13667703,13580,99708
037070,파세코,KOSDAQ,185400000000,20000000,9270,139837
143160,아이디스,KOSDAQ,185393547000,10716390,17300,20178
012200,계양전기,KOSPI,185387465490,27222829,6810,600306
001520,동양,KOSPI,184741464762,238684063,774,899081
300080,플리토,KOSDAQ,184695996690,16505451,11190,94962
106190,하이텍팜,KOSDAQ,184166556360,10633173,17320,114143
071840,롯데하이마트,KOSPI,183667999360,23607712,7780,30761
086890,이수앱지스,KOSDAQ,183466035000,40770230,4500,145673
039830,오로라,KOSDAQ,183399645600,10762890,17040,195489
340450,지씨지놈,KOSDAQ,182111106100,23650793,7700,406771
016450,한세예스24홀딩스,KOSPI,181800000000,40000000,4545,36404
008830,대동기어,KOSDAQ,181547904000,8987520,20200,142592
077500,유니퀘스트,KOSPI,180792853740,21600102,8370,1553603
001360,삼성제약,KOSPI,180602867522,94162079,1918,1819886
038390,레드캡투어,KOSDAQ,180417669380,16720822,10790,79768
217270,넵튠,KOSDAQ,180399581980,46735643,3860,91506
009580,무림P&P,KOSPI,180244456360,62368324,2890,639731
204610,티쓰리,KOSDAQ,180130633000,55001720,3275,907299
092130,이크레더블,KOSDAQ,179329204000,12043600,14890,19314
048870,시너지이노베이션,KOSDAQ,178857134890,88106963,2030,231351
322510,제이엘케이,KOSDAQ,178794949400,25725892,6950,330086
143240,사람인,KOSDAQ,178485316530,10732731,16630,13495
049430,코메론,KOSDAQ,178336080000,9048000,19710,33265
321370,센서뷰,KOSDAQ,177985601170,51664906,3445,5398789
166480,코아스템켐온,KOSDAQ,177908815240,52870376,3365,921092
365330,에스와이스틸텍,KOSDAQ,177856195000,50171000,3545,678069
089470,HDC현대EP,KOSPI,176407000000,31900000,5530,137718
114840,아이패밀리에스씨,KOSDAQ,176143383000,17319900,10170,124675
214420,토니모리,KOSPI,175840580690,24054799,7310,130837
037560,LG헬로비전,KOSPI,175417149225,77446865,2265,274257
234030,싸이닉솔루션,KOSDAQ,175385150000,23605000,7430,445609
107600,새빗켐,KOSDAQ,174869574000,5640954,31000,70025
009070,KCTC,KOSPI,174600000000,30000000,5820,248546
290740,액트로,KOSDAQ,174527290740,10065011,17340,140004
002170,SYTS,KOSPI,174300000000,3000000,58100,3903
105330,케이엔더블유,KOSDAQ,174251303800,16060028,10850,115161
400760,NH올원리츠,KOSPI,174125801750,54929275,3170,394872
000300,DH오토넥스,KOSPI,174035631000,41437055,4200,0
066620,국보디자인,KOSDAQ,174000000000,7500000,23200,9501
235980,메드팩토,KOSDAQ,173774863470,34275121,5070,256787
396300,세아메카닉스,KOSDAQ,173771120000,26489500,6560,1257400
317400,자이에스앤디,KOSPI,173745689600,38782520,4480,274359
086670,비엠티,KOSDAQ,173702987500,9925885,17500,128692
293480,하나제약,KOSPI,173463952960,17772946,9760,38325
007330,푸른저축은행,KOSDAQ,172698060000,15082800,11450,27457
462520,조선내화,KOSPI,171781384320,11855168,14490,15078
038290,마크로젠,KOSDAQ,170860464000,10841400,15760,67858
396470,워트,KOSDAQ,170710800000,16120000,10590,2342599
290690,소룩스,KOSDAQ,170706864240,49337244,3460,648456
023910,대한약품,KOSDAQ,170700000000,6000000,28450,30400
042420,네오위즈홀딩스,KOSDAQ,170173714700,8142283,20900,20696
090350,노루페인트,KOSPI,170000000000,20000000,8500,162165
044820,코스맥스비티아이,KOSPI,169989401700,9603921,17700,33900
011040,경동제약,KOSDAQ,169535900660,30768766,5510,44593
262260,에이프로,KOSDAQ,169422059920,14468152,11710,1195986
210540,디와이파워,KOSPI,169269383640,11041708,15330,154294
054540,삼영엠텍,KOSDAQ,169260000000,13000000,13020,217675
115440,우리넷,KOSDAQ,169254498560,10794292,15680,2661109
172670,에이엘티,KOSDAQ,169080087330,8960259,18870,311975
011700,한신기계,KOSPI,169044446710,32446151,5210,3749081
036010,아비코전자,KOSDAQ,168953191140,13292934,12710,289810
148150,세경하이테크,KOSDAQ,168828385500,35542818,4750,172235
306620,지아이에스,KOSDAQ,168318861170,47885878,3515,3085600
272550,삼양패키징,KOSPI,168012726900,15068406,11150,205509
067000,조이시티,KOSDAQ,167768270400,69903446,2400,414473
047560,이스트소프트,KOSDAQ,167738620780,11738182,14290,72067
475580,에이럭스,KOSDAQ,167586270000,13624900,12300,300208
357880,SKAI,KOSDAQ,167459189465,51764819,3235,2040957
069510,에스텍,KOSDAQ,167032100000,10910000,15310,22812
396270,넥스트칩,KOSDAQ,166410400860,32887431,5060,473037
192440,슈피겐코리아,KOSDAQ,165666073950,6216363,26650,10145
000020,동화약품,KOSPI,165633617100,27931470,5930,55389
334970,프레스티지바이오로직스,KOSDAQ,165613116810,77752637,2130,226369
013520,화승코퍼레이션,KOSPI,165419387860,50051252,3305,340242
417500,제이아이테크,KOSDAQ,165235109760,32784744,5040,1427740
014280,금강공업,KOSPI,165124279910,29329357,5630,4505542
108230,톱텍,KOSDAQ,165020883300,38023245,4340,173876
062970,한국첨단소재,KOSDAQ,164700651390,57088614,2885,3999556
033340,좋은사람들,KOSDAQ,164428146368,96950558,1696,1328864
024800,유성티엔에스,KOSDAQ,164324786220,37051812,4435,191434
323990,박셀바이오,KOSDAQ,164196855700,23257345,7060,201032
054800,아이디스홀딩스,KOSDAQ,163908455040,10347756,15840,11749
027710,팜스토리,KOSDAQ,163893818600,111416600,1471,3640296
456070,이엔셀,KOSDAQ,163812588130,11001517,14890,78979
085670,뉴프렉스,KOSDAQ,163575591090,24450761,6690,634222
067280,멀티캠퍼스,KOSDAQ,162986422500,5926779,27500,18631
041440,현대에버다임,KOSDAQ,162139293200,17915944,9050,297865
242040,나무기술,KOSDAQ,161957315520,34606264,4680,2804666
009270,신원,KOSPI,161826254130,114770393,1410,813529
013990,아가방컴퍼니,KOSDAQ,161806677120,32887536,4920,323051
000970,한국주철관,KOSPI,161655545000,22800500,7090,60095
0007J0,인벤테라,KOSDAQ,161640422700,7865714,20550,180956
079430,현대리바트,KOSPI,160791258060,20535282,7830,119098
388790,라이콤,KOSDAQ,160724340000,30614160,5250,634918
360070,탑머티리얼,KOSDAQ,160204775510,8186243,19570,38899
040300,YTN,KOSDAQ,159956267900,47676980,3355,227748
066410,버킷스튜디오,KOSDAQ,159637252154,138453818,1153,0
136150,원일티엔아이,KOSDAQ,159239570000,8381030,19000,169350
046070,코다코,KOSDAQ,159196994920,15486089,10280,0
408470,한패스,KOSDAQ,159002880000,10572000,15040,165158
095190,신화프리텍,KOSDAQ,158909224970,65260462,2435,248394
023600,삼보판지,KOSDAQ,158322087000,16008300,9890,42713
080420,모다이노칩,KOSDAQ,158247419670,79721622,1985,2859
260970,에스앤디,KOSDAQ,158233643800,2892754,54700,28825
003830,대한화섬,KOSPI,157235200000,1328000,118400,4072
100590,머큐리,KOSDAQ,157169627650,17139545,9170,13863324
000700,유수홀딩스,KOSPI,156771708240,26041812,6020,57956
021080,에이티넘인베스트,KOSDAQ,156720000000,48000000,3265,420444
049080,기가레인,KOSDAQ,156609775215,84883347,1845,8087977
136540,윈스테크넷,KOSDAQ,156566761500,12279746,12750,100466
250060,모비스,KOSDAQ,156513442610,32171314,4865,766104
065450,빅텍,KOSDAQ,156496587200,28767755,5440,1277986
044990,에이치엔에스하이텍,KOSDAQ,156398398750,7685425,20350,680540
093640,케이알엠,KOSDAQ,156188631880,32675446,4780,77126
072870,메가스터디,KOSDAQ,156164562900,11920959,13100,67882
159010,아스플로,KOSDAQ,155883098910,13334739,11690,262896
012800,대창,KOSPI,155303410296,91140499,1704,3534499
012320,경동인베스트,KOSPI,155145508800,2365023,65600,13350
071280,로체시스템즈,KOSDAQ,155107554420,15296603,10140,598144
078000,텔코웨어,KOSPI,154863690520,9240077,16760,13838
045970,코아시아,KOSDAQ,154731470880,26314876,5880,352286
307930,컴퍼니케이,KOSDAQ,154695100000,15610000,9910,293872
255440,야스,KOSDAQ,154214980000,13058000,11810,310061
214390,경보제약,KOSPI,154199247000,23906860,6450,133896
182360,큐브엔터,KOSDAQ,154099003590,15549849,9910,68864
001290,상상인증권,KOSPI,153730373280,108337120,1419,6320048
493330,지에프아이,KOSDAQ,153642920000,7682146,20000,99409
093190,빅솔론,KOSDAQ,153526461900,19238905,7980,27950
214680,디알텍,KOSDAQ,153180397760,83477056,1835,447484
382840,원준,KOSDAQ,153021241620,15271581,10020,145654
131030,옵투스제약,KOSDAQ,152995935300,17646590,8670,126693
389030,지니너스,KOSDAQ,152876029200,33525445,4560,965219
067990,도이치모터스,KOSDAQ,152327691000,29181550,5220,737924
217330,싸이토젠,KOSDAQ,151961123790,23129547,6570,1139787
215100,로보로보,KOSDAQ,151799466840,20348454,7460,475633
366030,공구우먼,KOSDAQ,151780795000,22653850,6700,143126
004970,신라교역,KOSPI,151520000000,16000000,9470,29124
021320,KCC건설,KOSDAQ,151512000000,21400000,7080,92588
104460,디와이피엔에프,KOSDAQ,151460654400,10518101,14400,56458
063570,NICE인프라,KOSDAQ,151103696400,34147728,4425,79130
005990,매일홀딩스,KOSDAQ,150935750400,13298304,11350,6101
408920,메쎄이상,KOSDAQ,150881267950,43232455,3490,32797
256940,킵스파마,KOSDAQ,149983758090,20078147,7470,268857
021820,세원정공,KOSPI,149400000000,10000000,14940,16525
336680,탑런토탈솔루션,KOSDAQ,149340303770,39145558,3815,31075
109740,디에스케이,KOSDAQ,149120262000,25710390,5800,193248
005860,한일사료,KOSDAQ,148748910875,39403685,3775,1647884
066310,큐에스아이,KOSDAQ,148624084630,9271621,16030,1282057
041520,이엘씨,KOSDAQ,148458731400,12188730,12180,83063
123040,엠에스오토텍,KOSDAQ,148429068630,62628299,2370,321553
156100,엘앤케이바이오,KOSDAQ,148411655920,22351153,6640,184667
090850,현대이지웰,KOSDAQ,148177292640,23746361,6240,63013
049950,미래컴퍼니,KOSDAQ,148052272360,8817884,16790,303211
225190,LK삼양,KOSDAQ,147983724000,70468440,2100,1353853
094280,효성ITX,KOSPI,147829378000,11558200,12790,34382
070960,모나용평,KOSPI,147769332310,48133333,3070,165536
298000,효성화학,KOSPI,147501447900,3791811,38900,0
042510,라온시큐어,KOSDAQ,147460089840,11205174,13160,1306469
049960,쎌바이오텍,KOSDAQ,146922000000,9400000,15630,19888
002220,한일철강,KOSPI,146569055400,26697460,5490,224580
089230,THE E&M,KOSDAQ,146556663390,36321354,4035,606330
008040,사조동아원,KOSPI,146225805600,141144600,1036,575852
025620,차AI헬스케어,KOSPI,146177903190,18203973,8030,45122
107590,미원홀딩스,KOSPI,146160000000,2320000,63000,204
083420,그린케미칼,KOSPI,146160000000,24000000,6090,89947
013310,아진산업,KOSDAQ,146106781230,38806582,3765,871117
141000,비아트론,KOSDAQ,145255372900,12114710,11990,467149
090470,제이스로보틱스,KOSDAQ,145055730200,17476594,8300,221834
263720,디앤씨미디어,KOSDAQ,144979062880,12412591,11680,31736
015890,태경산업,KOSPI,144828456250,29228750,4955,114356
053700,삼보모터스,KOSDAQ,144671420700,25380951,5700,353159
038110,에코플라스틱,KOSDAQ,144092795000,41169370,3500,1614250
007540,샘표,KOSPI,144077580000,2875800,50100,7906
443670,에스피소프트,KOSDAQ,143994901440,24741392,5820,429206
122450,KX,KOSDAQ,143423468800,44819834,3200,86076
049720,고려신용정보,KOSDAQ,143143000000,14300000,10010,41105
310200,애니플러스,KOSDAQ,142665356460,52162836,2735,241272
0015S0,페스카로,KOSDAQ,142376913900,9866730,14430,110476
263860,지니언스,KOSDAQ,142277332000,9079600,15670,106989
078890,가온그룹,KOSDAQ,142056310530,18424943,7710,1995254
011280,태림포장,KOSPI,141965909700,70805940,2005,362389
006620,동구바이오제약,KOSDAQ,141897985120,28464992,4985,189853
024090,디씨엠,KOSPI,141588000000,11400000,12420,17859
451220,아이엠티,KOSDAQ,141428013560,7874611,17960,1346043
035000,HS애드,KOSPI,141330655680,16207644,8720,25977
309960,LB인베스트먼트,KOSDAQ,141160813120,23217239,6080,278481
052420,오성첨단소재,KOSDAQ,141064299008,97420096,1448,0
464490,쿼드메디슨,KOSDAQ,141000347640,11482113,12280,203206
027970,한국제지,KOSPI,140541717143,190178237,739,246708
096250,와이즈넛,KOSDAQ,140358234240,13105344,10710,64986
413630,씨피시스템,KOSDAQ,139552277580,36436626,3830,312241
004250,NPC,KOSPI,139536000000,36720000,3800,113003
139990,아주스틸,KOSPI,139519490400,38755414,3600,225036
004150,한솔홀딩스,KOSPI,139490508000,41026620,3400,343309
205100,엑셈,KOSDAQ,139252253310,70686423,1970,906496
317770,엑스페릭스,KOSDAQ,139013736450,36486545,3810,685661
331740,아우토크립트,KOSDAQ,138933096750,9749691,14250,97160
002390,한독,KOSPI,138598777310,13763533,10070,53277
067900,와이엔텍,KOSDAQ,138499404990,18199659,7610,79440
020120,키다리스튜디오,KOSPI,138433166010,37063766,3735,184264
350520,이지스레지던스리츠,KOSPI,138432588510,36866202,3755,100927
240550,동방메디컬,KOSDAQ,138373343400,20933940,6610,120588
123690,한국화장품,KOSPI,138345480000,16068000,8610,148552
476040,오가노이드사이언스,KOSDAQ,138300960000,6585760,21000,68071
109610,에스와이,KOSDAQ,137918868000,48907400,2820,283158
002460,HS화성,KOSPI,137634000000,10150000,13560,43407
016740,두올,KOSPI,137348574960,28674024,4790,249597
007210,벽산,KOSPI,136929200000,65360000,2095,534176
013570,디와이,KOSPI,136862091600,26319633,5200,177037
100130,동국S&C,KOSDAQ,136857485000,57143000,2395,365127
002620,제일파마홀딩스,KOSPI,136731918800,15973355,8560,20824
363280,티와이홀딩스,KOSPI,136663316280,50429268,2710,82451
273640,와이엠텍,KOSDAQ,136636360000,10966000,12460,426278
089600,KT나스미디어,KOSDAQ,136272960140,11568163,11780,33518
004140,동방,KOSPI,136239815440,47971766,2840,1235631
014710,사조씨푸드,KOSPI,136198675130,17218543,7910,23321
095270,웨이브일렉트로,KOSDAQ,136106684820,14372406,9470,411291
246710,티앤알바이오팹,KOSDAQ,135605513880,47664504,2845,414764
117670,알파칩스,KOSDAQ,135566449700,6661742,20350,89488
010100,한국무브넥스,KOSPI,135199864800,30450420,4440,218664
