티커,종목명,시장,시가총액,상장주식수,종가,거래량
082850,우리바이오,KOSDAQ,103454794030,48456578,2135,437481
001540,안국약품,KOSDAQ,103426390600,13042420,7930,39464
019550,SBI인베스트먼트,KOSDAQ,103398474850,162066575,638,0
173130,오파스넷,KOSDAQ,103328066160,13046473,7920,182332
222040,코스맥스엔비티,KOSDAQ,103140000000,20628000,5000,126308
035610,솔본,KOSDAQ,102957678705,27345997,3765,54689
066590,스모트로닉,KOSDAQ,102689922735,38677937,2655,225151
950190,고스트스튜디오,KOSDAQ,102574424920,13017059,7880,29217
014970,삼륭물산,KOSDAQ,102292500000,14825000,6900,124325
049480,오픈베이스,KOSDAQ,102279856665,31422383,3255,2781794
007820,엠엑스로보틱스,KOSDAQ,102173124600,20033946,5100,188076
064800,포니링크,KOSDAQ,102118031102,127807298,799,0
459100,위츠,KOSDAQ,101265072000,13466100,7520,1311095
041930,SY동아,KOSDAQ,101232000000,15200000,6660,68373
137950,제이씨케미칼,KOSDAQ,101207214630,22267814,4545,382473
039610,화성밸브,KOSDAQ,101189088000,10410400,9720,178837
347890,엠엑스온,KOSDAQ,100931063800,16963204,5950,67196
352090,스톰테크,KOSDAQ,100773742500,26872998,3750,62227
228850,레이언스,KOSDAQ,99877904280,16591014,6020,27515
043610,KT지니뮤직,KOSDAQ,99784207046,58115438,1717,78580
315640,딥노이드,KOSDAQ,99718727640,29372232,3395,465249
311690,CJ 바이오사이언스,KOSDAQ,99558820440,13065462,7620,28000
246720,아스타,KOSDAQ,99434491000,16381300,6070,0
091440,한울소재과학,KOSDAQ,99210699120,31798301,3120,214090
290660,다이나믹솔루션,KOSDAQ,99185122278,84126482,1179,1950386
105550,엣지파운드리,KOSDAQ,99136726566,78307051,1266,445717
058630,엠게임,KOSDAQ,99085281840,19202574,5160,52277
065530,와이어블,KOSDAQ,99026231130,47838759,2070,622817
212560,네오오토,KOSDAQ,98986579580,11812241,8380,122391
234300,에스트래픽,KOSDAQ,98900280300,27207780,3635,332746
302430,이노메트리,KOSDAQ,98135415840,9833208,9980,1033214
461030,아이엠비디엑스,KOSDAQ,97761405940,14334517,6820,77327
347860,알체라,KOSDAQ,97745176525,38710961,2525,958696
291650,압타머사이언스,KOSDAQ,97662787200,61039242,1600,133924
054670,대한뉴팜,KOSDAQ,97613456000,14354920,6800,94322
124560,태웅로직스,KOSDAQ,97576443720,38720811,2520,297487
263600,덕우전자,KOSDAQ,97493497200,15930310,6120,83701
066790,씨씨에스,KOSDAQ,97271994227,65152039,1493,0
033230,인성정보,KOSDAQ,97090560360,50515380,1922,1278600
238090,앤디포스,KOSDAQ,96959599200,30490440,3180,166508
348150,고바이오랩,KOSDAQ,96900256110,19418889,4990,133980
120240,대정화금,KOSDAQ,96710758950,7190391,13450,25684
036630,세종텔레콤,KOSDAQ,96600000000,10000000,9660,7580
068240,다원시스,KOSDAQ,96553495610,38163437,2530,0
012700,리드코프,KOSDAQ,96528029620,26194852,3685,83985
382150,온코크로스,KOSDAQ,96226100730,12195957,7890,244488
241690,유니테크노,KOSDAQ,95925167520,24470706,3920,131763
084730,팅크웨어,KOSDAQ,95874329120,11109424,8630,32345
192250,케이사인,KOSDAQ,95759543750,7067125,13550,1337405
020710,시공테크,KOSDAQ,95628816900,20047970,4770,306871
093920,서원인텍,KOSDAQ,95604000000,18600000,5140,53374
251630,브이원텍,KOSDAQ,95497887140,15942886,5990,87644
453860,에이에스텍,KOSDAQ,95313016170,6444423,14790,22304
391710,코닉오토메이션,KOSDAQ,95256750450,42620470,2235,467208
033130,디지틀조선,KOSDAQ,95200659855,37115267,2565,259546
038680,에스넷,KOSDAQ,95082865550,19912642,4775,973353
347000,센코,KOSDAQ,94905223460,37810846,2510,1723064
191420,테고사이언스,KOSDAQ,94792269460,8108834,11690,17707
140070,서플러스글로벌,KOSDAQ,94504340000,36988000,2555,313466
004650,창해에탄올,KOSDAQ,94482297800,9190885,10280,112618
019540,일지테크,KOSDAQ,94459365000,13513500,6990,203625
175140,휴먼테크놀로지,KOSDAQ,94289276340,24944253,3780,157153
134580,탑코미디어,KOSDAQ,94250412888,49294149,1912,69153
058400,KNN,KOSDAQ,94157530920,132429720,711,169944
290670,대보마그네틱,KOSDAQ,93584730600,7857660,11910,35849
